ID,Street,Non-Homestead,Account,Code,"2016 City","2016 Full","2017 City","2017 Full","2018 City","2018 Full","2019 City","2019 Full","2020 City","2020 Full","2021 City","2021 Full","2022 City","2022 Full","Sale Date","Sale Price","Sale AV",2016OwnerAtAddress,2017OwnerAtAddress,2018OwnerAtAddress,2019OwnerAtAddress,2020OwnerAtAddress,2021OwnerAtAddress,2022OwnerAtAddress,Latitude,Longitude,TigerLine,DistanceFromCityHall,20162022Diff,SaleAssessDiff,SaleAssessDiffPercent,SqFt,Bathrooms,Bedrooms,YearBuilt,LandSize,Zoning,Ward,CensusBlock,AVPerSqFt,AVChangePercent,SalePricePerSqFt,NbhdCode,2021Vacant,2021Violations,OpportunityZone
1-1-1,"Pierces Rd",1,241601,340,32800,32800,32800,32800,32800,32800,98700,98700,98700,98700,98700,98700,108600,108600,,,,1,1,1,1,1,1,1,,,,0,75800,,,null,null,null,null,null,"Industrial District","Ward 3","County 071 Tract 000200 Block Group 1",,2.31,,20,0,0,0
1-1-3,"52 Pierces Rd",1,241876,464,502800,502800,496500,496500,496500,496500,496500,496500,531000,531000,531000,531000,531000,531000,,,,1,1,1,1,1,1,1,41.513474,-74.03358,124499565,2470,28200,,,4900.0,null,null,1972,1972,"Industrial District","Ward 3","County 071 Tract 000200 Block Group 1",108.37,0.06,,20,0,0,0
1-1-4.1,"Scobie Dr",1,674810,692,0,18300,0,54900,0,54900,0,54900,0,54900,0,54900,0,54900,,,,1,1,1,1,1,1,1,,,,0,36600,,,null,null,null,null,null,"Industrial District","Ward 3","County 071 Tract 000200 Block Group 1",,2,,20,0,0,0
1-1-4.2,"98 Scobie Dr",1,271550,449,1249700,1249700,1249700,1249700,1249700,1249700,1249700,1249700,1249700,1249700,1249700,1249700,1249700,1249700,,,,1,1,1,1,1,1,1,,,,0,0,,,24431.0,null,null,1988,1988,"Industrial District","Ward 3","County 071 Tract 000200 Block Group 1",51.15,0,,20,0,0,0
1-1-4.31,"1 Scobie Dr",1,271660,449,317125,737500,321941,748700,321941,748700,321941,748700,325639,757300,325639,757300,325639,757300,,,,1,1,1,1,1,1,1,,,,0,19800,,,14000.0,null,null,1980,1980,"Industrial District","Ward 3","County 071 Tract 000200 Block Group 1",54.09,0.03,,20,0,0,0
1-1-4.32,"9 Scobie Dr",1,271700,449,1365000,1365000,1427900,1427900,1427900,1427900,1427900,1427900,1427900,1427900,1427900,1427900,1427900,1427900,,,,1,1,1,1,1,1,1,,,,0,62900,,,50000.0,null,null,1980,1980,"Industrial District","Ward 3","County 071 Tract 000200 Block Group 1",28.56,0.05,,20,0,0,0
1-1-5,"7 Scobie Dr",1,271670,449,1977700,1977700,1977700,1977700,1977700,1977700,1977700,1977700,1984500,1984500,1984500,1984500,1984500,1984500,,,,1,1,1,1,1,1,1,41.513523,-74.03447,619609066,2532,6800,,,78750.0,null,null,1997,1997,"Industrial District","Ward 3","County 071 Tract 000200 Block Group 1",25.2,0,,20,0,0,0
1-1-6,"5 Scobie Dr",1,674821,340,0,145700,0,145700,0,145700,0,249700,0,249700,0,249700,0,274700,,,,1,1,1,1,1,1,1,41.513474,-74.03444,619609066,2527,129000,,,null,null,null,null,null,"Industrial District","Ward 3","County 071 Tract 000200 Block Group 1",,0.89,,20,0,0,0
1-2-1,"1-2 Williamsburg Dr",0,359305,220,157200,157200,157200,157200,157200,157200,157200,157200,150000,150000,247700,247700,309600,309600,,,,1,1,1,1,1,1,1,41.514194,-74.033,124492824,2482,152400,,,2538.0,3.0,5.0,1987,1987,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",121.99,0.97,,1,1,1,0
1-2-10,"19-20 Williamsburg Dr",0,359350,220,174400,174400,87200,174400,87200,174400,156960,174400,189300,189300,195000,195000,231610,243800,,,,1,1,1,1,1,1,1,41.51537,-74.03457,124492824,2666,69400,,,3078.0,3.0,6.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",79.21,0.4,,1,0,0,0
