="10-1-1","424 LIBERTY ST - 424 Liberty St",""
="10-1-10","285 GRAND ST",""
="10-1-11","285 GRAND ST REAR",""
="10-1-12","283 GRAND ST - 283 Grand St",""
="10-1-13","283 GRAND ST REAR",""
="10-1-14","281 GRAND ST - 281 Grand St",""
="10-1-15","279 GRAND ST - 279 Grand St",""
="10-1-16","277 GRAND ST - 277 Grand St",""
="10-1-17","275 GRAND ST - 275 Grand St",""
="10-1-18","271 GRAND ST - 271 Grand St",""
="10-1-19","80 CLINTON ST - 80 Clinton St",""
="10-1-2","87 BROAD ST - 87 Broad St",""
="10-1-20","82 CLINTON ST - 82 Clinton St",""
="10-1-21","84 CLINTON ST - 84 Clinton St",""
="10-1-22","88 CLINTON ST - 88 Clinton St",""
="10-1-23","362 LIBERTY ST - 362 Liberty St",""
="10-1-24","364 LIBERTY ST - 364 Liberty St",""
="10-1-25","366 LIBERTY ST - 366 Liberty St",""
="10-1-26","368 LIBERTY ST - 368 Liberty St",""
="10-1-27","370 LIBERTY ST REAR - 370 Liberty St Rear",""
="10-1-28","370 LIBERTY ST - 370 Liberty St",""
="10-1-29","372 LIBERTY ST - 372 Liberty St",""
="10-1-3","333 GRAND ST - 333 Grand St",""
="10-1-30","372 LIBERTY ST REAR - 372 Liberty St Rear",""
="10-1-31","374 LIBERTY ST - 374 Liberty St",""
="10-1-32","374 A LIBERTY ST - 374 A Liberty St",""
="10-1-33","376 LIBERTY ST - 376 Liberty St",""
="10-1-34","376 LIBERTY ST REAR - 376 Liberty St Rear",""
="10-1-35","378 LIBERTY ST - 378 Liberty St",""
="10-1-36","380 LIBERTY ST - 380 Liberty St",""
="10-1-37","382 LIBERTY ST - 382 Liberty St",""
="10-1-38","384 LIBERTY ST - 384 Liberty St",""
="10-1-39","388 LIBERTY ST - 388 Liberty St",""
="10-1-4","317 GRAND ST - 317 Grand St",""
="10-1-40","392 LIBERTY ST - 392 Liberty St",""
="10-1-41","394 LIBERTY ST - 394 Liberty St",""
="10-1-42","396 LIBERTY ST - 396 Liberty St",""
="10-1-43","404 LIBERTY ST - 404 Liberty St",""
="10-1-44","410 LIBERTY ST - 410 Liberty St",""
="10-1-45","410 LIBERTY ST REAR - 410 Liberty St Rear",""
="10-1-46","412 LIBERTY ST - 412 Liberty St",""
="10-1-47","416 LIBERTY ST - 416 Liberty St",""
="10-1-5","297 GRAND ST - 297 Grand St",""
="10-1-6","295 GRAND ST - 295 Grand St",""
="10-1-7","291 GRAND ST - 291 Grand St",""
="10-1-8","289 GRAND ST - 289 Grand St",""
="10-1-9","287 GRAND ST - 287 Grand St",""
="10-2-1","324 GRAND ST - 324 Grand St",""
="10-2-10","227 MONTGOMERY ST - 227 Montgomery St",""
="10-2-11","225 MONTGOMERY ST - 225 Montgomery St",""
="10-2-12","215 MONTGOMERY ST - 215 Montgomery St",""
="10-2-13","209 MONTGOMERY ST - 209 Montgomery St",""
="10-2-14","205 MONTGOMERY ST - 205 Montgomery St",""
="10-2-15","201 MONTGOMERY ST - 201 Montgomery St",""
="10-2-16","195 MONTGOMERY ST - 195 Montgomery St",""
="10-2-17","58 CLINTON ST - 58 Clinton St",""
="10-2-18","72 CLINTON ST - 72 Clinton St",""
="10-2-20.2","70 CLINTON ST - 70 Clinton St",""
="10-2-2.1","55 BROAD ST - 55 Broad St",""
="10-2-23","282 GRAND ST - 282 Grand St",""
="10-2-24","284 GRAND ST - 284 Grand St",""
="10-2-25","286 GRAND ST - 286 Grand St",""
="10-2-26","288 GRAND ST - 288 Grand St",""
="10-2-27","296 GRAND ST - 296 Grand St",""
="10-2-28","298 GRAND ST - 298 Grand St",""
="10-2-29","302 GRAND ST - 302 Grand St",""
="10-2-30","304 GRAND ST - 304 Grand St",""
="10-2-31","312 GRAND ST - 312 Grand St",""
="10-2-32","314 GRAND ST - 314 Grand St",""
="10-2-33","316 GRAND ST - 316 Grand St",""
="10-2-34","318 GRAND ST - 318 Grand St",""
="10-2-35","322 GRAND ST - 322 Grand St",""
="10-2-36","328 GRAND ST - 328 Grand St",""
="10-2-5","257 MONTGOMERY ST - 257 Montgomery St",""
="10-2-6","255 MONTGOMERY ST - 255 Montgomery St",""
="10-2-7","253 MONTGOMERY ST - 253 Montgomery St",""
="10-2-9.1","235 MONTGOMERY ST - 235 Montgomery St",""
="10-3-1","258 MONTGOMERY ST - 258 Montgomery St",""
="10-3-18","196 MONTGOMERY ST - 196 Montgomery St",""
="10-3-19","202 MONTGOMERY ST - 202 Montgomery St",""
="10-3-20","204 MONTGOMERY ST - 204 Montgomery St",""
="10-3-21","206 MONTGOMERY ST - 206 Montgomery St",""
="10-3-2.22","35-37 BROAD ST - 35-37 Broad St",""
="10-3-22.2","208 MONTGOMERY ST - 208 Montgomery St",""
="10-3-24","216 MONTGOMERY ST - 216 Montgomery St",""
="10-3-25.2","222 MONTGOMERY ST - 222 Montgomery St",""
="10-3-26","226 MONTGOMERY ST - 226 Montgomery St",""
="10-3-27.2","230 MONTGOMERY ST - 230 Montgomery St",""
="10-3-28","236 MONTGOMERY ST - 236 Montgomery St",""
="10-3-29","238 MONTGOMERY ST - 238 Montgomery St",""
="10-3-33","252 MONTGOMERY ST",""
="10-3-34","254 MONTGOMERY ST - 254 Montgomery St",""
="10-3-35","256 MONTGOMERY ST - 256 Montgomery St",""
="10-3-36","WATER ST - Water St",""
="10-3-38","236 MONTGOMERY ST REAR - 236 Montgomery St Rear",""
="10-4-1","304 WATER ST - 304 Water St",""
="10-4-2","272 WATER ST - 272 Water St",""
="10-4-3","248 WATER ST - 248 Water St",""
="10-4-4","WATER ST - Water St",""
="10-4-5","302 WATER ST - 302 Water St",""
="10-4-6","2 CLINTON ST - 2 Clinton St",""
="11-1-1","223 N MILLER ST - 223 N Miller St",""
="11-1-10","205 N MILLER ST - 205 N Miller St",""
="11-1-11","201 N MILLER ST - 201 N Miller St",""
="11-1-12.1","199 N MILLER ST & 198 DUBOIS - 199 N Miller St & 198 Dubois",""
="11-1-13","197 N MILLER ST",""
="11-1-14","195 N MILLER ST",""
="11-1-15","193 N MILLER ST & 192 DUBOIS - 193 N Miller St & 192 Dubois",""
="11-1-16","191 N MILLER ST - 191 N Miller St",""
="11-1-17","189 N MILLER ST - 189 N Miller St",""
="11-1-18","187 N MILLER ST - 187 N Miller St",""
="11-1-19","185 N MILLER ST - 185 N Miller St",""
="11-1-2","221 N MILLER ST - 221 N Miller St",""
="11-1-20","202 SOUTH ST - 202 South St",""
="11-1-21","204 SOUTH ST - 204 South St",""
="11-1-22","206 SOUTH ST - 206 South St",""
="11-1-23","212 SOUTH ST - 212 South St",""
="11-1-24","214 SOUTH ST - 214 South St",""
="11-1-25","184 DUBOIS ST - 184 Dubois St",""
="11-1-26.1","188 DUBOIS ST - 188 Dubois St",""
="11-1-26.2","186 DUBOIS ST - 186 Dubois St",""
="11-1-27","194 DUBOIS ST - 194 Dubois St",""
="11-1-28","196 DUBOIS ST - 196 Dubois St",""
="11-1-3","219 N MILLER ST - 219 N Miller St",""
="11-1-30","200 DUBOIS ST - 200 Dubois St",""
="11-1-31","202 DUBOIS ST - 202 Dubois St",""
="11-1-32","206 DUBOIS ST - 206 Dubois St",""
="11-1-33.1","210 DUBOIS ST - 210 Dubois St",""
="11-1-33.2","208 DUBOIS ST - 208 Dubois St",""
="11-1-34","212 DUBOIS ST - 212 Dubois St",""
="11-1-35","214 DUBOIS ST - 214 Dubois St",""
="11-1-36","216 DUBOIS ST - 216 Dubois St",""
="11-1-37","216 A DUBOIS ST - 216 A Dubois St",""
="11-1-38","218 DUBOIS ST - 218 Dubois St",""
="11-1-39","220 DUBOIS ST - 220 Dubois St",""
="11-1-4","217 N MILLER ST - 217 N Miller St",""
="11-1-40","222 DUBOIS ST - 222 Dubois St",""
="11-1-41","224 DUBOIS ST - 224 Dubois St",""
="11-1-5","215 N MILLER ST - 215 N Miller St",""
="11-1-6","213 N MILLER ST - 213 N Miller St",""
="11-1-7","211 N MILLER ST - 211 N Miller St",""
="11-1-8","209 N MILLER ST - 209 N Miller St",""
="11-1-9","207 N MILLER ST - 207 N Miller St",""
="11-2-1","55 GIDNEY AVE - 55 Gidney Ave",""
="11-2-10","196 LANDER ST - 196 Lander St",""
="11-2-11","194 LANDER ST - 194 Lander St",""
="11-2-12","192 LANDER ST - 192 Lander St",""
="11-2-13","190 LANDER ST - 190 Lander St",""
="11-2-14","166 SOUTH ST - 166 South St",""
="11-2-15","168 SOUTH ST - 168 South St",""
="11-2-16","170 SOUTH ST - 170 South St",""
="11-2-17","172 SOUTH ST - 172 South St",""
="11-2-18","174 SOUTH ST - 174 South St",""
="11-2-19","176 SOUTH ST - 176 South St",""
="11-2-20","194 SOUTH ST - 194 South St",""
="11-2-21","198 SOUTH ST - 198 South St",""
="11-2-22","200 SOUTH ST - 200 South St",""
="11-2-2.2","180 SOUTH ST - 180 South St",""
="11-2-23","184 N MILLER ST - 184 N Miller St",""
="11-2-24","186 N MILLER ST - 186 N Miller St",""
="11-2-25","188 N MILLER ST - 188 N Miller St",""
="11-2-26","190 N MILLER ST - 190 N Miller St",""
="11-2-27","192 N MILLER ST - 192 N Miller St",""
="11-2-28.2","204 N MILLER ST - 204 N Miller St",""
="11-2-29","206 N MILLER ST - 206 N Miller St",""
="11-2-30","206 N MILLER ST REAR - 206 N Miller St Rear",""
="11-2-31","208 N MILLER ST - 208 N Miller St",""
="11-2-3.1","41-43 GIDNEY AVE - 41-43 Gidney Ave",""
="11-2-32","210 N MILLER ST - 210 N Miller St",""
="11-2-5","39 GIDNEY AVE ALY - 39 Gidney Ave Aly",""
="11-2-6","204 LANDER ST - 204 Lander St",""
="11-2-7","202 LANDER ST - 202 Lander St",""
="11-2-8","200 LANDER ST - 200 Lander St",""
="11-2-9","198 LANDER ST - 198 Lander St",""
="11-3-1","197 LANDER ST - 197 Lander St",""
="11-3-10","185-187 CHAMBERS ST - 185-187 Chambers St",""
="11-3-11","183 CHAMBERS ST - 183 Chambers St",""
="11-3-12","144 SOUTH ST - 144 South St",""
="11-3-13","146 SOUTH ST - 146 South St",""
="11-3-14","148 SOUTH ST - 148 South St",""
="11-3-15","150 SOUTH ST - 150 South St",""
="11-3-16","152 SOUTH ST - 152 South St",""
="11-3-17","154 SOUTH ST - 154 South St",""
