ID,SaleDate,Price,NBHD_CODE,PROP_CLASS,BLDG_STYLE,GRADE,OVERALL_COND,SFLA,ACRES,YR_BUILT,NBR_BEDROOMS,NBR_FULL_BATHS,NBR_HALF_BATHS,NBR_FIREPLACES
7-6-15,1559088000,139000,3,210,5,C,3,1668,0.172176309,1926,3,1,0,1
4-1-22,1559174400,235000,3,210,5,C,4,1456,0.155004591,1930,3,1,1,1
7-9-21,1559174400,349900,3,210,4,C,4,3138,0.584022039,1955,5,2,1,1
26-3-19,1559692800,130000,5,210,4,C,3,1061,0.080348944,1945,2,1,0,0
26-6-11.1,1559865600,75000,5,210,8,C,3,1302,0.20087236,1900,2,1,0,0
6-5-10,1560297600,275000,6,210,1,C,4,2488,0.257116621,1960,3,2,1,1
17-3-13,1560470400,100000,6,210,8,C,3,1240,0.057392103,1900,3,1,0,0
13-3-6,1560902400,122000,5,210,8,C,3,960,0.987144169,1900,3,1,0,0
7-1-50,1561334400,137500,6,210,8,C,3,1284,0.384991965,1910,3,1,0,0
2-10-22,1561420800,180000,2,210,1,C,3,1000,0.137741047,1957,3,1,1,0
25-1-62,1561593600,189900,9,210,8,C,3,1040,0.105647383,1920,3,1,0,0
2-19-12,1561939200,190000,2,210,1,C,3,1086,0.139118457,1955,3,1,1,0
7-9-2,1553731200,216300,3,210,8,C,4,1718,0.066574839,1860,3,2,2,0
14-3-13,1553817600,126500,5,210,8,C,3,968,0.114784206,1913,3,1,0,0
26-3-36,1554336000,125000,5,210,8,C,3,1044,0.126033058,1910,2,1,0,0
9-3-7,1554336000,192000,4,210,4,C,3,1212,0.081726354,1890,3,1,1,1
4-10-22,1554681600,310000,4,210,8,C,4,1848,0.110055096,1930,3,2,1,1
2-9-20,1557273600,155000,2,210,1,C,3,1000,0.095982553,1955,3,1,1,0
7-2-23,1557446400,270000,3,210,4,C,3,2295,0.345546373,1950,5,3,0,1
3-4-10,1558310400,125000,3,210,8,C,3,1176,0.108471074,1930,3,1,0,1
25-2-33,1559088000,169500,9,210,8,C,3,1236,0.103305785,1917,3,1,1,0
15-1-25,1550016000,200000,6,210,8,C,3,1893,0.169421488,1925,3,1,1,0
2-11-8,1550016000,187000,2,210,1,C,3,1000,0.137741047,1955,2,1,1,0
12-1-3,1550016000,307000,4,230,10,C,3,2424,0.089393939,1880,5,4,0,0
18-9-3,1550188800,105000,8,210,8,C,3,1650,0.043044077,1900,4,2,0,0
37-7-18,1550707200,135000,4,210,8,B,1,2460,0.17,1900,4,2,0,0
25-4-18,1551052800,96000,9,210,8,C,3,1397,0.103305785,1910,4,1,1,0
33-2-2.2,1551830400,200000,12,210,2,C,3,1344,0.340564738,2007,3,2,0,0
39-4-29,1552003200,141831,14,210,8,C,1,1000,0.157943067,1860,4,2,0,0
29-3-35,1552348800,92000,8,210,8,C,3,1320,0.071740129,1890,3,2,0,0
25-1-43,1552867200,165000,9,210,8,C,3,1136,0.08677686,1930,3,1,1,0
2-10-24,1553040000,185000,2,210,1,C,3,1000,0.161157025,1956,2,1,1,0
17-1-7,1553472000,165000,6,210,4,C,3,1452,0.091827365,1900,4,1,0,0
13-3-40,1553558400,135000,5,210,8,C,2,2559,0.254820937,1900,4,2,0,0
16-8-29,1545350400,58000,11,210,15,C,2,1100,0.040251607,1918,3,1,0,0
25-1-61.1,1545350400,120000,9,210,8,C,3,1480,0.212121212,1920,3,1,0,0
16-11-43,1545868800,229000,6,210,8,C,4,1748,0.126262626,1923,3,1,0,0
7-2-25,1545868800,238000,3,210,2,C,3,1876,0.215220386,1972,3,2,1,0
17-2-42,1546214400,182100,6,210,4,C,3,1554,0.091827365,1955,4,1,0,1
34-3-26,1546473600,67000,13,210,8,C,3,1192,0.095270891,1927,2,1,0,0
10-1-28,1546560000,87000,8,210,10,C,3,1524,0.04869146,1906,2,1,0,0
17-1-29,1546905600,140000,6,210,4,C,3,1296,0.091827365,1925,3,2,0,0
48-6-4,1547424000,60000,15,210,8,C,3,1114,0.068870523,1900,3,2,0,0
48-1-28,1547769600,116313,15,210,8,C,3,1464,0.057392103,1920,4,1,1,0
7-5-11,1548288000,110000,3,210,5,C,3,1412,0.172176309,1920,3,1,1,1
3-9-5,1548374400,93000,3,210,2,C,2,1542,0.216942149,1960,3,2,0,0
9-1-26,1549497600,186000,4,210,8,C,3,1248,0.10617539,1913,4,1,1,1
29-1-7,1540512000,45000,8,210,8,C,3,1050,0.057392103,1890,4,1,0,0
