"10-1-15","279 GRAND ST - 279 Grand St","","Yes"
"10-1-18","271 GRAND ST - 271 Grand St","","Yes"
"10-1-24","364 LIBERTY ST - 364 Liberty St","","Yes"
"10-1-29","372 LIBERTY ST - 372 Liberty St","","Yes"
"10-1-31","374 LIBERTY ST - 374 Liberty St","","Yes"
"10-1-32","374 A LIBERTY ST - 374 A Liberty St","","Yes"
"10-1-33","376 LIBERTY ST - 376 Liberty St","","Yes"
"10-1-36","380 LIBERTY ST - 380 Liberty St","","Yes"
"10-1-37","382 LIBERTY ST - 382 Liberty St","","Yes"
"10-1-41","394 LIBERTY ST - 394 Liberty St","","Yes"
"10-2-20.2","70 CLINTON ST - 70 Clinton St","","Yes"
"10-2-25","286 GRAND ST - 286 Grand St","","Yes"
"10-2-26","288 GRAND ST - 288 Grand St","","Yes"
"10-2-29","302 GRAND ST - 302 Grand St","","Yes"
"10-2-34","318 GRAND ST - 318 Grand St","","Yes"
"11-1-11","201 N MILLER ST - 201 N Miller St","","Yes"
"11-1-13","197 N MILLER ST","","Yes"
"11-1-15","193 N MILLER ST & 192 DUBOIS - 193 N Miller St & 192 Dubois","","Yes"
"11-1-17","189 N MILLER ST - 189 N Miller St","","Yes"
"11-1-18","187 N MILLER ST - 187 N Miller St","","Yes"
"11-1-2","221 N MILLER ST - 221 N Miller St","","Yes"
"11-1-5","215 N MILLER ST - 215 N Miller St","","Yes"
"11-1-7","211 N MILLER ST - 211 N Miller St","","Yes"
"11-1-8","209 N MILLER ST - 209 N Miller St","","Yes"
"11-2-11","194 LANDER ST - 194 Lander St","","Yes"
"11-2-20","194 SOUTH ST - 194 South St","","Yes"
"11-2-21","198 SOUTH ST - 198 South St","","Yes"
"11-2-23","184 N MILLER ST - 184 N Miller St","","Yes"
"11-3-10","185-187 CHAMBERS ST - 185-187 Chambers St","","Yes"
"11-3-13","146 SOUTH ST - 146 South St","","Yes"
"11-3-16","152 SOUTH ST - 152 South St","","Yes"
"11-3-17","154 SOUTH ST - 154 South St","","Yes"
"11-3-18","156 SOUTH ST - 156 South St","","Yes"
"11-3-21","162 SOUTH ST - 162 South St","","Yes"
"11-3-2.2","25 GIDNEY AVE - 25 Gidney Ave","","Yes"
"11-3-5","197 CHAMBERS ST - 197 Chambers St","","Yes"
"11-3-8","191 CHAMBERS ST - 191 Chambers St","","Yes"
"11-4-10","383 LIBERTY ST - 383 Liberty St","","Yes"
"11-4-20","361 LIBERTY ST - 361 Liberty St","","Yes"
"11-4-22","357 LIBERTY ST - 357 Liberty St","","Yes"
"11-4-24","353 LIBERTY ST - 353 Liberty St","","Yes"
"11-4-26","347 LIBERTY ST - 347 Liberty St","","Yes"
"11-4-28","343 LIBERTY ST - 343 Liberty St","","Yes"
"11-4-3","411 LIBERTY ST - 411 Liberty St","","Yes"
"11-4-31","333 LIBERTY ST - 333 Liberty St","","Yes"
"11-4-32","327 LIBERTY ST - 327 Liberty St","","Yes"
"11-4-5","405 LIBERTY ST - 405 Liberty St","","Yes"
"11-5-15","134 SOUTH ST - 134 South St","","Yes"
"11-5-17","138 SOUTH ST - 138 South St","","Yes"
"11-5-2","9 GIDNEY AVE - 9 Gidney Ave","","Yes"
"11-5-24","194 CHAMBERS ST - 194 Chambers St","","Yes"
"11-5-3","7 GIDNEY AVE - 7 Gidney Ave","","Yes"
"11-5-8","315 LIBERTY ST - 315 Liberty St","","Yes"
"11-5-9","311 LIBERTY ST - 311 Liberty St","","Yes"
"1-2-1","1-2 WILLIAMSBURG DR - 1-2 Williamsburg Dr","","Yes"
"12-1-1","269 GRAND ST - 269 Grand St","","Yes"
"12-1-10","245 GRAND ST - 245 Grand St","","Yes"
"12-1-11","243 GRAND ST - 243 Grand St","","Yes"
"12-1-14","326 LIBERTY ST - 326 Liberty St","","Yes"
"1-2-12","23-24 WILLIAMSBURG DR - 23-24 Williamsburg Dr","","Yes"
