"Parcel ID","Address","Vacant","Code Violations - Count - In the last 12 months","Owners"
"10-1-15","279 GRAND ST - 279 Grand St","","Yes","1"
"10-1-18","271 GRAND ST - 271 Grand St","","Yes","2"
"10-1-24","364 LIBERTY ST - 364 Liberty St","","Yes","2"
"10-1-29","372 LIBERTY ST - 372 Liberty St","","Yes","1"
"10-1-31","374 LIBERTY ST - 374 Liberty St","","Yes","2"
"10-1-36","380 LIBERTY ST - 380 Liberty St","","Yes","1"
"10-1-37","382 LIBERTY ST - 382 Liberty St","","Yes","1"
"10-2-20.2","70 CLINTON ST - 70 Clinton St","","Yes","5"
"10-2-25","286 GRAND ST - 286 Grand St","","Yes","2"
"10-2-26","288 GRAND ST - 288 Grand St","","Yes","2"
"10-2-34","318 GRAND ST - 318 Grand St","","Yes","1"
"11-1-11","201 N MILLER ST - 201 N Miller St","","Yes","3"
"11-1-15","193 N MILLER ST & 192 DUBOIS - 193 N Miller St & 192 Dubois","","Yes","2"
"11-1-17","189 N MILLER ST - 189 N Miller St","","Yes","3"
"11-1-2","221 N MILLER ST - 221 N Miller St","","Yes","1"
"11-1-5","215 N MILLER ST - 215 N Miller St","","Yes","1"
"11-1-7","211 N MILLER ST - 211 N Miller St","","Yes","1"
"11-1-8","209 N MILLER ST - 209 N Miller St","","Yes","2"
"11-2-11","194 LANDER ST - 194 Lander St","","Yes","1"
"11-2-21","198 SOUTH ST - 198 South St","","Yes","3"
"11-3-16","152 SOUTH ST - 152 South St","","Yes","1"
"11-3-2.2","25 GIDNEY AVE - 25 Gidney Ave","","Yes","3"
"11-3-5","197 CHAMBERS ST - 197 Chambers St","","Yes","2"
"11-4-10","383 LIBERTY ST - 383 Liberty St","","Yes","5"
"11-4-20","361 LIBERTY ST - 361 Liberty St","","Yes","1"
"11-4-22","357 LIBERTY ST - 357 Liberty St","","Yes","1"
"11-4-26","347 LIBERTY ST - 347 Liberty St","","Yes","5"
"11-4-28","343 LIBERTY ST - 343 Liberty St","","Yes","1"
"11-4-3","411 LIBERTY ST - 411 Liberty St","","Yes","6"
"11-4-31","333 LIBERTY ST - 333 Liberty St","","Yes","2"
"11-4-32","327 LIBERTY ST - 327 Liberty St","","Yes","1"
"11-5-15","134 SOUTH ST - 134 South St","","Yes","1"
"11-5-2","9 GIDNEY AVE - 9 Gidney Ave","","Yes","1"
"11-5-24","194 CHAMBERS ST - 194 Chambers St","","Yes","1"
"11-5-8","315 LIBERTY ST - 315 Liberty St","","Yes","1"
"11-5-9","311 LIBERTY ST - 311 Liberty St","","Yes","3"
"1-2-1","1-2 WILLIAMSBURG DR - 1-2 Williamsburg Dr","","Yes","1"
"12-1-1","269 GRAND ST - 269 Grand St","","Yes","1"
"12-1-11","243 GRAND ST - 243 Grand St","","Yes","1"
"12-1-14","326 LIBERTY ST - 326 Liberty St","","Yes","1"
"1-2-12","23-24 WILLIAMSBURG DR - 23-24 Williamsburg Dr","","Yes","1"
"12-1-4","263 GRAND ST - 263 Grand St","","Yes","2"
"1-2-18","35-36 WILLIAMSBURG DR - 35-36 Williamsburg Dr","","Yes","2"
"12-2-14","228 A GRAND ST - 228 A Grand St","","Yes","1"
"12-3-11","180 MONTGOMERY ST - 180 Montgomery St","","Yes","2"
"1-2-5","9-10 WILLIAMSBURG DR - 9-10 Williamsburg Dr","","Yes","1"
"13-3-15","2 VAN CLEFT AVE - 2 Van Cleft Ave","","Yes","1"
"13-3-18","10 VAN CLEFT AVE - 10 Van Cleft Ave","","Yes","9"
"14-1-22","34 HAWTHORNE AVE - 34 Hawthorne Ave","","Yes","4"
"14-3-70.12","2 MONROE ST - 2 Monroe St","","Yes","8"
"14-3-9.1","545 SOUTH ST - 545 South St","","Yes","2"
"15-1-12","11 RICHMAN AVE - 11 Richman Ave","","Yes","3"
"15-2-4","451 SOUTH ST - 451 South St","","Yes","2"
"15-5-3","173 FULLERTON AVE - 173 Fullerton Ave","","Yes","1"
"15-6-8","119 FULLERTON AVE - 119 Fullerton Ave","","Yes","2"
"16-3-4","173 PROSPECT ST - 173 Prospect St","","Yes","2"
"16-5-4","35 BUSH AVE - 35 Bush Ave","","Yes","7"
"17-4-2","185 GIDNEY AVE - 185 Gidney Ave","","Yes","3"
"17-8-2","95 GIDNEY AVE - 95 Gidney Ave","","Yes","3"
"17-8-27","230 CITY TER - 230 City Ter","","Yes","1"
"18-10-12","112 JOHNSTON ST - 112 Johnston St","","Yes","3"
"18-10-13","114 JOHNSTON ST - 114 Johnston St","","Yes","10"
"18-10-14","116 JOHNSTON ST - 116 Johnston St","","Yes","6"
"18-10-7","146 THIRD ST - 146 Third St","","Yes","1"
"18-10-8","150 THIRD ST - 150 Third St","","Yes","3"
"18-10-9","152 THIRD ST - 152 Third St","","Yes","3"
"18-11-17","111 JOHNSTON ST - 111 Johnston St","","Yes","3"
"18-11-18","109 JOHNSTON ST - 109 Johnston St","","Yes","2"
"18-1-14","145 N MILLER ST - 145 N Miller St","","Yes","1"
"18-1-23","118 DUBOIS ST - 118 Dubois St","","Yes","2"
"18-2-12","145 JOHNSTON ST - 145 Johnston St","","Yes","8"
"18-2-19","131 JOHNSTON ST - 131 Johnston St","","Yes","1"
"18-2-20","129 JOHNSTON ST - 129 Johnston St","","Yes","5"
"18-2-21","127 JOHNSTON ST - 127 Johnston St","","Yes","3"
"18-2-22","125 JOHNSTON ST - 125 Johnston St","","Yes","4"
"18-3-31","42 FARRINGTON ST - 42 Farrington St","","Yes","3"
"18-3-41","144 JOHNSTON ST - 144 Johnston St","","Yes","3"
"18-3-44","150 JOHNSTON ST - 150 Johnston St","","Yes","2"
"18-3-45","152 JOHNSTON ST - 152 Johnston St","","Yes","3"
"18-3-46","154 JOHNSTON ST - 154 Johnston St","","Yes","5"
"18-4-10","157 CHAMBERS ST - 157 Chambers St","","Yes","1"
"18-4-17","145 CHAMBERS ST - 145 Chambers St","","Yes","1"
"18-4-18","143 CHAMBERS ST - 143 Chambers St","","Yes","3"
"18-4-19","141 CHAMBERS ST - 141 Chambers St","","Yes","1"
"18-4-25","129 CHAMBERS ST - 129 Chambers St","","Yes","3"
"18-4-26","127 CHAMBERS ST - 127 Chambers St","","Yes","1"
"18-4-33","131 LANDER ST - 131 Lander St","","Yes","2"
"18-4-4","169 CHAMBERS ST - 169 Chambers St","","Yes","2"
"18-4-5","167 CHAMBERS ST - 167 Chambers St","","Yes","2"
"18-4-7","163 CHAMBERS ST - 163 Chambers St","","Yes","4"
"18-5-10","271 LIBERTY ST - 271 Liberty St","","Yes","2"
"18-5-11","269 LIBERTY ST - 269 Liberty St","","Yes","2"
"18-5-14","263 LIBERTY ST - 263 Liberty St","","Yes","1"
"18-5-19","10 FARRINGTON ST - 10 Farrington St","","Yes","1"
"18-5-2","299 LIBERTY ST - 299 Liberty St","","Yes","1"
"18-5-21","14 FARRINGTON ST - 14 Farrington St","","Yes","1"
"18-5-22","16 FARRINGTON ST - 16 Farrington St","","Yes","1"
"18-6-24","250 LIBERTY ST - 250 Liberty St","","Yes","4"
"18-6-26","254 LIBERTY ST - 254 Liberty St","","Yes","1"
"18-6-38","282 LIBERTY ST - 282 Liberty St","","Yes","2"
"18-6-4","115 SOUTH ST - 115 South St","","Yes","1"
"18-7-7","145 GRAND ST - 145 Grand St","","Yes","4"
"18-8-1.1","257 LIBERTY ST - 257 Liberty St","","Yes","1"
"18-8-2","245 LIBERTY ST - 245 Liberty St","","Yes","1"
"18-9-12.11","128 THIRD ST - 128 Third St","","Yes","1"
"18-9-2","25 FARRINGTON ST - 25 Farrington St","","Yes","2"
"18-9-22","117 LANDER ST - 117 Lander St","","Yes","2"
"18-9-23","119 LANDER ST - 119 Lander St","","Yes","2"
"18-9-24","121 LANDER ST - 121 Lander St","","Yes","2"
"18-9-9","111 CHAMBERS ST - 111 Chambers St","","Yes","8"
"2-10-15","15 FLEMMING DR - 15 Flemming Dr","","Yes","2"
"2-10-27","26 SHERMAN DR - 26 Sherman Dr","","Yes","2"
